id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
246794,"Canada, Government of",World Food Programme,Support to WFP-UNHAS in Afghanistan. Logistics,Coordination and support services,1956182.00,Paid Contribution,2022
246795,"Canada, Government of",United Nations Children's Fund,Support UNICEF’s nutrition in emergencies response,Nutrition,12608353.00,Paid Contribution,2022
247017,"Canada, Government of",International Organization for Migration,Flexible funding to support IOM operations in Afghanistan,,4683841.00,Paid Contribution,2022
247028,Disasters Emergency Committee (UK),Action Against Hunger,DEC Afghanistan Crisis Appeal,,1816201.00,Paid Contribution,2022
247029,Disasters Emergency Committee (UK),ActionAid International,DEC Afghanistan Crisis Appeal,,2874294.00,Paid Contribution,2022
247030,Disasters Emergency Committee (UK),Age International,DEC Afghanistan Crisis Appeal,,1873186.00,Paid Contribution,2022
247031,Disasters Emergency Committee (UK),British Red Cross,DEC Afghanistan Crisis Appeal,,7617703.00,Paid Contribution,2022
247032,Disasters Emergency Committee (UK),Catholic Agency for Overseas Development,DEC Afghanistan Crisis Appeal,,2597771.00,Paid Contribution,2022
247033,Disasters Emergency Committee (UK),CARE International,DEC Afghanistan Crisis Appeal,,1911822.00,Paid Contribution,2022
247034,Disasters Emergency Committee (UK),ACT Alliance / Christian Aid,DEC Afghanistan Crisis Appeal,,3875447.00,Paid Contribution,2022
247035,Disasters Emergency Committee (UK),Concern Worldwide,DEC Afghanistan Crisis Appeal,,1873186.00,Paid Contribution,2022
247036,Disasters Emergency Committee (UK),International Rescue Committee,DEC Afghanistan Crisis Appeal,,3434126.00,Paid Contribution,2022
247037,Disasters Emergency Committee (UK),Islamic Relief Worldwide,DEC Afghanistan Crisis Appeal,,2217223.00,Paid Contribution,2022
247038,Disasters Emergency Committee (UK),Save the Children,DEC Afghanistan Crisis Appeal,,9328165.00,Paid Contribution,2022
247039,Disasters Emergency Committee (UK),Tearfund,DEC Afghanistan Crisis Appeal,,3998734.00,Paid Contribution,2022
247040,Disasters Emergency Committee (UK),World Vision International,DEC Afghanistan Crisis Appeal,,3124694.00,Paid Contribution,2022
247209,"New Zealand, Government of",Food & Agriculture Organization of the United Nations,Emergency livelihood assistance to safeguard food security and local food production of the most vulnerable rural families in Afghanistan.,Food Security,2000000.00,Commitment,2022
247210,"Sweden, Government of",Food & Agriculture Organization of the United Nations,"Emergency livelihood assistance to safeguard food and nutrition security, sustain income and local production of most vulnerable rural families affected by multiple shocks in Afghanistan",Food Security,3176620.00,Commitment,2022
247286,"Sweden, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office  [OCT 10186];[52040482 Amendment 5],Coordination and support services,719451.00,Paid Contribution,2022
247472,"Japan, Government of",United Nations Mine Action Service,"Humanitarian Mine Action in Support of At-risk Populations, including Returnees, Refugees, Internally Displaced Persons (IDPs) and Host Communities in Afghanistan",Protection - Mine Action,900000.00,Paid Contribution,2022
247494,"Canada, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office [OCT 8637];[P010182],Coordination and support services,239195.00,Paid Contribution,2022
247540,"Japan, Government of",International Organization for Migration,"Emergency Assistance for Displaced & Returnee Afghan Migrants, and Humanitarian Data Collection. Multi Sector",,1600000.00,Paid Contribution,2022
247606,"Japan, Government of",United Nations High Commissioner for Refugees,"Afghanistan Humanitarian Response Plan 2022
Refugee Response	Emergency Shelter and NFI",Emergency Shelter and NFI,5879629.00,Paid Contribution,2022
247653,"Japan, Government of",United Nations Children's Fund,"Providing lifesaving child protection, health and nutrition assistance to the most vulnerable and underserved communities including internally displaced persons (IDPs) affected by the complex humanitarian emergency in Afghanistan.  Multi Sector",,0.00,Paid Contribution,2022
247711,"Ireland, Government of",ACT Alliance / Christian Aid,To save lives and alleviate suffering,,157486.00,Commitment,2022
248149,"Estonia, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office  [OCT 10325];[12-1/1486],Coordination and support services,48193.00,Paid Contribution,2022
248235,"Norway, Government of",United Nations High Commissioner for Refugees,"Afghanistan Humanitarian Response Plan 2022-No Sector Earmarking
UNHCR VOLUNTARY FUNDS NO 2 (QZA-18/0302-12)",,1669821.00,Paid Contribution,2022
248366,"Japan, Government of",Food & Agriculture Organization of the United Nations,Emergency livelihood assistance to safeguard food and nutrition security and sustain local production of food among most vulnerable rural families affected by multiple shocks in Afghanistan,Food Security,2000000.00,Commitment,2022
248533,"Sweden, Government of",Swedish Red Cross,"Afghanistan Humanitarian Crisis - The RRM will contribute to the Afghanistan Humanitarian Crises Operation and be earmarked for procurement of food parcels to cover the food needs of approximately 3,700 vulnerable household for two months.",,771291.00,Commitment,2022
248668,"Denmark, Government of",United Nations Children's Fund,"MFA, Annual Programme 2022",,1221001.00,Commitment,2022
248688,"Denmark, Government of",Mission Ost - DNK,"MFA, Annual Programme 2022",,1361180.00,Commitment,2022
248741,"Denmark, Government of",Save the Children,"MFA, Annual Programme 2022",,907834.00,Commitment,2022
248848,European Commission,World Food Programme,Education,Education,12366087.00,Paid Contribution,2022
248908,"Denmark, Government of",Danish Refugee Council,"MFA, Annual Programme 2022",,2686541.00,Commitment,2022
248932,"Denmark, Government of",Danish Red Cross,"MFA, Annual programme 2022",,293956.00,Commitment,2022
248996,"Estonia, Government of",United Nations High Commissioner for Refugees,"Afghanistan Humanitarian Response Plan 2022
Emergency Shelter and NFI; Protection; Water, Sanitation and Hygiene","Emergency Shelter and NFI | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Protection - Housing, Land and Property | Protection - Mine Action | Water Sanitation Hygiene",54765.00,Paid Contribution,2022
249076,Office for the Coordination of Humanitarian Affairs,Office for the Coordination of Humanitarian Affairs,"Afghanistan - OCHA Office [Donor:O537, Recipient:O445]",Coordination and support services,1483112.00,Paid Contribution,2022
249265,"Ireland, Government of",Concern Worldwide,To save lives and alleviate suffering,,400530.00,Commitment,2022
249580,"Sweden, Government of",World Food Programme,Humanitarian support 2022 - food security,Food Security,5393161.00,Commitment,2022
249589,"Sweden, Government of",United Nations Children's Fund,Humanitarian support 2022,,0.00,Commitment,2022
249680,"United States of America, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office  [OCT 10122];[20BHA22IO00073],Coordination and support services,1000000.00,Paid Contribution,2022
249794,"Sweden, Government of",Afghanistan Humanitarian Fund,Humanitarian support 2022,,7277222.00,Paid Contribution,2022
250078,"Sweden, Government of",Food & Agriculture Organization of the United Nations,Humanitarian support 2022 - emergency support to livelihoods.,Food Security,3235897.00,Commitment,2022
250261,"Sweden, Government of",Norwegian Refugee Council,Humanitarian support 2022,,1027855.00,Commitment,2022
250407,"Switzerland, Government of",Swiss Development Cooperation/Swiss Humanitarian Aid,"Support to the relocated Swiss Cooperation Office (SCOA), presently in Bern. Administrative costs",,240517.00,Paid Contribution,2022
250443,"Switzerland, Government of",International Committee of the Red Cross,"ICRC Afghanistan: Operations Appeals 2022 Allocation 2022. 
Protection, access and security",Protection,3232759.00,Paid Contribution,2022
250575,"Sweden, Government of",International Committee of the Red Cross,Humanitarian support to ICRC:s field operations 2022.,,5139274.00,Commitment,2022
250859,"United States of America, Government of",International NGOs (Confidential),"Afghanistan/CE: Health, Water, Sanitation and Hygiene, Shelter and Settlements, Protection, Multipurpose Cash Assistance (USAID/BHA)",,0.00,Commitment,2022
250860,"United States of America, Government of",International NGOs (Confidential),"Afghanistan/CE: Health, Water, Sanitation and Hygiene, Protection, Multipurpose Cash Assistance, Nutrition(USAID/BHA)",,0.00,Commitment,2022
250902,"United States of America, Government of",Food & Agriculture Organization of the United Nations,"Afghanistan/CE:  Humanitarian Coordination and Info Management	 (USAID/BHA)",Coordination and support services,500000.00,Commitment,2022
250903,"United States of America, Government of",World Health Organization,"Afghanistan/CE:  Humanitarian Coordination and Info Management	 (USAID/BHA)",Coordination and support services,1000000.00,Commitment,2022
250904,"United States of America, Government of",International NGOs (Confidential),"Afghanistan/CE:  Health, Water, Sanitation and Hygiene, Protection, Nutrition	 (USAID/BHA)",,0.00,Commitment,2022
250905,"United States of America, Government of",International NGOs (Confidential),"Afghanistan/CE:  Natural and Technological Risks, Humanitarian Coordination and Info Management		 (USAID/BHA)",Coordination and support services,4756243.00,Commitment,2022
250906,"United States of America, Government of",International NGOs (Confidential),"Afghanistan/CE:  Humanitarian Coordination, Info Management & Assessments, Protection, Economic Recovery and Market Systems		 (USAID/BHA)",,0.00,Paid Contribution,2022
250907,"United States of America, Government of",World Food Programme,Afghanistan/CE: Food Assistance  (USAID/BHA),Food Security,768086.00,Commitment,2022
250908,"United States of America, Government of",United Nations Population Fund,"Afghanistan/CE:  Humanitarian Coordination, Info Management & Assessments			 (USAID/BHA)",Coordination and support services,361800.00,Commitment,2022
250947,"United States of America, Government of",International Labour Organization,A Road to Decent Jobs for All Afghans (R2J4A),,72353.00,Commitment,2022
251171,European Commission's Humanitarian Aid and Civil Protection Department,United Nations Population Fund,Procurement of Life-Saving Supplies to support Health Service Delivery throughout Afghanistan,Health,788288.00,Commitment,2022
251184,European Commission's Humanitarian Aid and Civil Protection Department,International NGOs (Confidential),"Multi-sectoral response, providing emergency Health, Nutrition, Education, and Child Protection integrated with WASH and MHPSS in high need areas of Afghanistan",Education | Health | Nutrition | Protection - Child Protection | Water Sanitation Hygiene,6302521.00,Commitment,2022
251212,European Commission's Humanitarian Aid and Civil Protection Department,International NGOs (Confidential),"Protection, Coordination and Education Response to Armed Conflict and Displacement in Afghanistan",Coordination and support services | Education | Protection,4358354.00,Commitment,2022
251293,"Finland, Government of",Save the Children,Aid to victims of conflict in Afghanistan,,760870.00,Commitment,2022
251299,"Finland, Government of",International Federation of Red Cross and Red Crescent Societies,AId to victims of conflict in Afghanistan,,840336.00,Commitment,2022
251411,European Commission's Humanitarian Aid and Civil Protection Department,Aga Khan Foundation,Emergency Assistance and Livelihoods Support for Vulnerable Households in the Northeast and Central Highlands of Afghanistan,Food Security,2626050.00,Commitment,2022
251486,"Netherlands, Government of",Afghanistan Humanitarian Fund,NETHERLANDS - AFGHAN CHF APR22,,21628900.00,Paid Contribution,2022
251488,"Norway, Government of",Afghanistan Humanitarian Fund,NORWAY TO AFGHAN CHF MAR22,,894854.00,Commitment,2022
251491,United Nations Foundation,Afghanistan Humanitarian Fund,UN FOUNDTN TO AFGHAN CHF MAR22,,174366.00,Commitment,2022
251492,"Australia, Government of",Afghanistan Humanitarian Fund,AUSTRALIA TO AFGHAN CHF DEC21,,1826664.00,Paid Contribution,2022
251632,"Saudi Arabia (Kingdom of), Government of","Afghanistan, Government of",Provision of food parcels to needy people in Afghanistan,Food Security,1000000.00,Paid Contribution,2022
251638,"United States of America, Government of",UN agencies and NGOs (Confidential),"Implementing Partner Livelihoods Balkh (STATE/PRM)
A Road to Decent Jobs for All Afghans",Food Security,1128233.00,Commitment,2022
251640,"United States of America, Government of",United Nations High Commissioner for Refugees,Afghanistan Humanitarian Response Plan 2022-No Sector Earmarking,,0.00,Commitment,2022
251773,United Nations Children's Fund,World Health Organization,Health Emergency Response to Support Health Facilities Operated by the Sehatmandi Service Providers and to Support COVID- 19 Response Efforts in Afghanistan,Health,38826037.00,Commitment,2022
251776,UNDP Administered Trust Fund,World Health Organization,MPROVE ACCESS OF THE VULNERABLE POPULATION TO ESSENTIAL PRIMARY AND SECONDARY HEALTH SERVICES INCLUDING IMPATIENT MANAGEMENT OF COMPLICATED SAM,Health,7504656.00,Commitment,2022
251779,UNDP Administered Trust Fund,World Health Organization,IMPROVING ENVIRONMENTAL HEALTH MEASURES IN HEALTH CARE FACILITIES OF HIGH NEEDS IN AFGHANISTAN,Health,2348368.00,Commitment,2022
251783,"United States of America, Government of",World Health Organization,GLOBAL RESPONSE FOR COVID-199 2022 - HRP COUNTRIES,Health,1070000.00,Commitment,2022
251784,Unitaid,World Health Organization,WHO COVID-19 CLINICAL MANAGEMENT TECHNICAL ASSISTANCE PROJECT-SECOND O2 PROJECT,Health,57780.00,Commitment,2022
251906,European Commission's Humanitarian Aid and Civil Protection Department,People in Need,Strengthening household and community public health capacities through a lifesaving and resilience building response for multi-hazard affected households in Maydan Wardak province,Health,1900739.00,Commitment,2022
251923,European Commission's Humanitarian Aid and Civil Protection Department,Agency for Technical Cooperation and Development,Enhancing access to education for Out-of-School children in Afghanistan and supporting evidence-driven cash responses in Afghanistan through REACH,Education,2639916.00,Commitment,2022
252083,"Norway, Government of",Norwegian Refugee Council,Humanitarian response in Afghanistan  (QZA-20/0048-17),,1144932.00,Paid Contribution,2022
252098,"Canada, Government of",International Committee of the Red Cross,Multisector humanitarian response in Africa MC,Multi-sector,0.00,Paid Contribution,2022
252121,"Canada, Government of",World Food Programme,Food Security Portion,Food Security,9685039.00,Paid Contribution,2022
252122,"Canada, Government of",World Food Programme,Nutrition Portion,Nutrition,10000000.00,Paid Contribution,2022
252123,"United States of America, Government of",World Food Programme,"Food Assistance–Cash Transfers, Vouchers, Local, Regional, and International Procurement; Logistics Support; Nutrition  (USAID/BHA)",Food Security,236400000.00,Paid Contribution,2022
252124,"United States of America, Government of",World Food Programme,"Food Assistance–Cash Transfers, Vouchers, Local, Regional, and International Procurement; Logistics Support; Nutrition  (USAID/BHA)",Nutrition,23600000.00,Paid Contribution,2022
252125,"United States of America, Government of",World Food Programme,"Food Assistance–Cash Transfers, Vouchers, Local, Regional, and International Procurement; Logistics Support; Nutrition  (USAID/BHA)",Logistics,10000000.00,Paid Contribution,2022
252126,Asian Development Bank,World Food Programme,ASDB FUND TO AFGHANISTAN,Food Security,21500000.00,Paid Contribution,2022
252127,Asian Development Bank,World Food Programme,ASDB FUND TO AFGHANISTAN,Food Security,113500000.00,Paid Contribution,2022
252128,"India, Government of",World Food Programme,Food Security,Food Security,4824120.00,Paid Contribution,2022
252129,"New Zealand, Government of",World Food Programme,Food Security,Food Security,2006689.00,Paid Contribution,2022
252130,"Japan, Government of",World Food Programme,Nutrition,Nutrition,3000000.00,Paid Contribution,2022
252131,"Japan, Government of",World Food Programme,Food Security,Food Security,7000000.00,Paid Contribution,2022
252132,"India, Government of",World Food Programme,Food Security,Food Security,4818120.00,Paid Contribution,2022
252133,"Switzerland, Government of",World Food Programme,Food Security,Food Security,2950644.00,Paid Contribution,2022
252134,Private (individuals & organizations),World Food Programme,Food Security,Food Security,120392.00,Paid Contribution,2022
252135,Private (individuals & organizations),World Food Programme,Food Security,Food Security,4173074.00,Paid Contribution,2022
252136,Private (individuals & organizations),World Food Programme,Multisector,Food Security,64103.00,Paid Contribution,2022
252137,Private (individuals & organizations),World Food Programme,Food Security,Food Security,200000.00,Paid Contribution,2022
252138,Private (individuals & organizations),World Food Programme,Multi-Sector,Food Security,21906.00,Paid Contribution,2022
252139,Private (individuals & organizations),World Food Programme,Food Security,Food Security,401340.00,Paid Contribution,2022
252140,Private (individuals & organizations),World Food Programme,Food Security,Food Security,100571.00,Paid Contribution,2022
252141,Private (individuals & organizations),World Food Programme,Food Security,Food Security,650555.00,Paid Contribution,2022
252142,Private (individuals & organizations),World Food Programme,Food Security,Food Security,135000.00,Paid Contribution,2022
252161,"Ireland, Government of",United Nations High Commissioner for Refugees,"The RRP will provide multi-sectoral support, including protection, food security, education, health and nutrition, shelter and NFIs, WASH and livelihoods and resilience, to registered Afghan refugees, undocumented Afghans and Afghans of other status and host communities in neighbouring countries.",,1055966.00,Commitment,2022
252178,"Kuwait, Government of",World Food Programme,Food Security,Food Security,500000.00,Paid Contribution,2022
252179,"Norway, Government of",World Food Programme,Food Security,Food Security,1677852.00,Paid Contribution,2022
252180,"Iceland, Government of",World Food Programme,Food Security,Food Security,311769.00,Paid Contribution,2022
252182,"France, Government of",World Food Programme,Education,Education,1086956.00,Paid Contribution,2022
252183,"France, Government of",World Food Programme,Nutrition,Nutrition,2190581.00,Paid Contribution,2022
252184,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),United Nations Children's Fund,Global - Thematic Humanitarian Response. Nutrition,Nutrition,605342.00,Paid Contribution,2022
252185,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),United Nations Children's Fund,Global - Thematic Humanitarian Response. Health,Health,183264.00,Paid Contribution,2022
252186,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),United Nations Children's Fund,Global - Thematic Humanitarian Response. Wash,Water Sanitation Hygiene,2542349.00,Paid Contribution,2022
252187,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),United Nations Children's Fund,Global - Thematic Humanitarian Response. SPEAR,,6463850.00,Paid Contribution,2022
252188,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),United Nations Children's Fund,"Global - Thematic Humanitarian Response. Cross-sectoral (HCT, C4D, RCCE and AAP)",Other,3657867.00,Paid Contribution,2022
252189,UNICEF National Committee/Canada,United Nations Children's Fund,"HAC-AFGHANISTAN: Non-thematic : Cross-sectoral (HCT, C4D, RCCE and AAP)",,122074.00,Paid Contribution,2022
252190,UNICEF National Committee/Netherlands,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Nutrition,Nutrition,69827.00,Paid Contribution,2022
252191,United States Fund For UNICEF,United Nations Children's Fund,"HAC-AFGHANISTAN: Non-thematic : Cross-sectoral (HCT, C4D, RCCE and AAP)",,98000.00,Paid Contribution,2022
252192,United States Fund For UNICEF,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Nutrition,Nutrition,294000.00,Paid Contribution,2022
252194,"Canada, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Nutrition,Nutrition,8613939.00,Paid Contribution,2022
252195,"Japan, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Nutrition,Nutrition,764901.00,Paid Contribution,2022
252196,"Japan, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Health,Health,993378.00,Paid Contribution,2022
252198,"Japan, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Child protection GBV and PSEA,Protection - Child Protection | Protection - Gender-Based Violence,1241722.00,Paid Contribution,2022
252201,"Sweden, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Child protection GBV and PSEA,Protection - Child Protection | Protection - Gender-Based Violence,602157.00,Paid Contribution,2022
252202,"Sweden, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Nutrition,Nutrition,1241560.00,Paid Contribution,2022
252203,"Sweden, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Wash,Water Sanitation Hygiene,1862340.00,Paid Contribution,2022
252204,"United Kingdom, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Nutrition,Nutrition,4071009.00,Paid Contribution,2022
252205,"United Kingdom, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Health,Health,2704024.00,Paid Contribution,2022
252206,"United Kingdom, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Wash,Water Sanitation Hygiene,9196284.00,Paid Contribution,2022
252207,"United Kingdom, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Child protection GBViE and PSEA,Protection - Child Protection | Protection - Gender-Based Violence,625574.00,Paid Contribution,2022
252208,"United Kingdom, Government of",United Nations Children's Fund,"HAC-AFGHANISTAN: Non-thematic :  Adolescent/Youth, Gender",Protection,862874.00,Paid Contribution,2022
252209,"United Kingdom, Government of",United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic :  Program Management Unit,Coordination and support services,2593997.00,Paid Contribution,2022
252210,Asian Development Bank,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic :  Health,Health,80000000.00,Paid Contribution,2022
252211,Asian Development Bank,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic :  Education,Education,100000000.00,Paid Contribution,2022
252212,European Commission,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic :  Education,Education,56379956.00,Paid Contribution,2022
252213,UN Multi-Partner Trust Fund,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Child protection GBViE and PSEA,Protection - Child Protection | Protection - Gender-Based Violence,700000.00,Paid Contribution,2022
252214,UN Multi-Partner Trust Fund,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Nutrition,Nutrition,2213064.00,Paid Contribution,2022
252215,UN Multi-Partner Trust Fund,United Nations Children's Fund,HAC-AFGHANISTAN: Non-thematic : Wash,Water Sanitation Hygiene,10652588.00,Paid Contribution,2022
252225,UNICEF National Committee/Canada,United Nations Children's Fund,Thematic Humanitarian Funds for Cross-Sectoral Activities - Afghanistan,,32969.00,Paid Contribution,2022
252227,UNICEF National Committee/Czech Republic,United Nations Children's Fund,Thematic Cross Sectoral - LV-Afghanistan,,5397.00,Paid Contribution,2022
252228,UNICEF National Committee/Korea (Republic of),United Nations Children's Fund,Thematic Cross Sectoral - LV-Afghanistan,,170015.00,Paid Contribution,2022
252229,UNICEF National Committee/Sweden,United Nations Children's Fund,Thematic Cross Sectoral - LV-Afghanistan,,3992.00,Paid Contribution,2022
252230,UNICEF National Committees,United Nations Children's Fund,Thematic Cross Sectoral - LV-Afghanistan,,5100.00,Paid Contribution,2022
252231,United States Fund for UNICEF,United Nations Children's Fund,Thematic Cross Sectoral - LV-Afghanistan,,148080.00,Paid Contribution,2022
252238,Afghanistan Humanitarian Fund,World Food Programme,Treatment of Moderate Acute Malnutrition (MAM) in children under five and pregnant & lactating women (PLW) in the prioritized provinces,Nutrition,1629999.00,Paid Contribution,2022
252239,Afghanistan Humanitarian Fund,International Organization for Migration,Emergency Shelter Repair and Transitional Shelter Assistance in Support of Flood Response,Emergency Shelter and NFI,4200734.00,Paid Contribution,2022
252252,"Norway, Government of",ACT Alliance / Norwegian Church Aid,"Humanitarian assistance	Save lives, alleviate suffering and protect human dignity. Focus: WASH, SGBV, ASRH and protection. (QZA-20/0052-4)",Protection | Protection - Gender-Based Violence | Water Sanitation Hygiene,360615.00,Paid Contribution,2022
252319,European Commission's Humanitarian Aid and Civil Protection Department,International NGO Safety Organisation,INSO Afghanistan 2022-23,,1055966.00,Commitment,2022
252328,"Germany, Government of",Save the Children,"Emergency Project	Improved access to quality and inclusive education for marginalized girls in Kandahar, Faryab and Kabul provinces",Education,2938458.00,Commitment,2022
252330,"Denmark, Government of",Save the Children,"Emergency Project	AFG_Danida Hum Single Grant EiE and CP_2022-2023",,1793346.00,Commitment,2022
252331,Save the Children,Save the Children,"Emergency Project	AFG_Danida Hum Single Grant EiE and CP_2022-2023",Protection - Child Protection,896673.00,Commitment,2022
252332,Save the Children,Save the Children,"Emergency Project	AFG_Danida Hum Single Grant EiE and CP_2022-2023",Education,896673.00,Commitment,2022
252333,"Germany, Government of",Save the Children,"Emergency Project	AFG_Keep Learning Together: Quality, inclusive education for out-of-school girls and boys from returnee, IDP and host communities in Kunduz province",Education,997437.00,Paid Contribution,2022
252335,"Norway, Government of",Save the Children,"Humanitarian support to child protection work in Afghanistan
(QZA-20/0058-16)",Protection - Child Protection,326859.00,Paid Contribution,2022
252343,"Norway, Government of",United Nations Children's Fund,"AC response Afghanistan 1.2.22	UNICEF (CBK)
(QZA-22/0074-1)",Protection - Child Protection,1677852.00,Paid Contribution,2022
252349,Private (individuals & organizations),World Health Organization,Deliver life-saving primary and secondary healthcare services to Afghans living in underserved areas,Health,217391.00,Paid Contribution,2022
252350,"Italy, Government of",World Health Organization,DELIVER LIFE-SAVING PRIMARY AND SECONDARY HEALTHCARE SERVICES TO AFGHANS LIVING IN UNDERSERVED AREAS,Health,283283.00,Paid Contribution,2022
252353,"France, Government of",World Health Organization,To support the Strategic Plan of preparedness and response to combat COVID-19 of the WHO through a Connector for Health systems and Response (HSRC),Health,1070001.00,Paid Contribution,2022
252355,"Japan, Government of",World Health Organization,Emergency Health Humanitarian Preparedness and Response to the Critical Health Needs of Afghan People living in Underserved Areas,Health,900000.00,Paid Contribution,2022
252445,European Commission's Humanitarian Aid and Civil Protection Department,International NGOs (Confidential),"Provision of essential services to respond to increased malnutrition related risks through quality integrated nutrition, health and protection response for vulnerable conflict-affected population in Southern Afghanistan.",Health | Nutrition | Protection,4534606.00,Commitment,2022
252526,"Norway, Government of",International Organization for Migration,IOM: Action Plan for Afghanistan and Neighboring Countries 2022,"Protection | Protection - Child Protection | Protection - Gender-Based Violence | Protection - Housing, Land and Property | Protection - Mine Action",1594896.00,Paid Contribution,2022
252548,"Norway, Government of",World Food Programme,WFP. Emergency food assistance - Afghanistan,Food Security,1713698.00,Paid Contribution,2022
253220,European Commission's Humanitarian Aid and Civil Protection Department,World Food Programme,Provide lifesaving emergency assistance to vulnerable people including internally displaced persons and malnourished women and children to enable them to meet their food and nutrition needs. [MR]Provide lifesaving emergency assistance to vulnerable people to meet their food and nutrition needs[MR],Food Security | Logistics | Nutrition,18565155.00,Commitment,2022
253318,European Commission's Humanitarian Aid and Civil Protection Department,Food & Agriculture Organization of the United Nations,Safeguarding food nutrition security using anticipatory actions through cash transfers and emergency agriculture livelihoods assistance to vulnerable food insecure households impacted by ongoing COVID-19 crisis and impacts of La Niña induced drought in IPC-3-4 and hard to reach areas of Afghanistan,Food Security,9782609.00,Commitment,2022
253354,European Commission's Humanitarian Aid and Civil Protection Department,International NGOs (Confidential),"Providing life-saving health, nutrition and education in emergencies assistance for targeted population in Herat, Ghazni and Khost provinces.",Education | Health | Nutrition,2110199.00,Commitment,2022
253361,European Commission's Humanitarian Aid and Civil Protection Department,International Rescue Committee,"Ensuring access to life-saving, integrated health, nutrition, food security, protection and education services for vulnerable host communities, IDPs and returnees in left-behind areas of Afghanistan",Education | Health | Nutrition | Protection,6335797.00,Commitment,2022
253372,"United Arab Emirates, Government of",Dubai Cares | International Humanitarian City | Khalifa Bin Zayed Al Nahyan Foundation | Mohamad Bin Rashid Al Maktoum Foundation | Red Crescent Society of the United Arab Emirates | Sharjah Charity House,Send 30.1 tons of food aid. In addition to logistical operations and support.,Food Security,492741.00,Paid Contribution,2022
253403,European Commission's Humanitarian Aid and Civil Protection Department,International Organization for Migration,"Protection and emergency health assistance to Afghan undocumented returnees, IDPs and other vulnerable populations",Health | Protection,3225806.00,Commitment,2022
253433,European Commission's Humanitarian Aid and Civil Protection Department,MEDAIR,"Lifesaving integrated humanitarian emergency response to conflict, drought and COVID 19-affected populations in Kandahar and Uruzgan Provinces of Afghanistan.",,2150537.00,Commitment,2022
253481,European Commission's Humanitarian Aid and Civil Protection Department,United Nations Children's Fund,"Afghanistan: NUTRITION,HEALTH",Health | Nutrition,12529833.00,Commitment,2022
253500,UN Multi-Partner Trust Fund,United Nations Children's Fund,"Afghanistan: HealthEmergency response for prevention and response	Health",Health,3500000.00,Paid Contribution,2022
253501,"France, Government of",United Nations Children's Fund,Afghanistan:Humanitarian flexible contribution against the HAC-Afghanistan 2022,Education | Health | Nutrition | Protection | Water Sanitation Hygiene,2100840.00,Paid Contribution,2022
253502,UN Multi-Partner Trust Fund,United Nations Children's Fund,"Afghanistan:Provision of child protection life-saving services and support	Child Protection",Protection - Child Protection,1000000.00,Paid Contribution,2022
253503,UNICEF National Committee/Italy,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,525210.00,Paid Contribution,2022
253504,UNICEF National Committee/Luxembourg,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,256651.00,Paid Contribution,2022
253505,"Switzerland, Government of",United Nations Children's Fund,"Afghanistan: support the donation of WASH	WASH",Water Sanitation Hygiene,159124.00,Paid Contribution,2022
253506,UNICEF National Committee/Luxembourg,United Nations Children's Fund,Malnutrition crisisin Afghanistan,Nutrition,157563.00,Paid Contribution,2022
